"measuredElementSuaFbs","timePointYears","geographicAreaM49","measuredItemFbsSua","Value","flagObservationStatus","flagMethod"
"674","2014","426","S2572",0,"I","s"
"684","2014","426","S2572",0.0469408260369681,"I","s"
"5166","2014","426","S2572",0,"I","s"
"261","2014","426","S2572",315.04876,"I","s"
"271","2014","426","S2572",0,"I","s"
"281","2014","426","S2572",35.639,"I","s"
"5910","2014","426","S2573",22.729,"I","s"
"5141","2014","426","S2573",5334.60836,"I","s"
"5610","2014","426","S2573",5357.33736,"I","s"
"5071","2014","426","S2573",0,"I","s"
"664","2014","426","S2573",62.1126451173912,"I","s"
"674","2014","426","S2573",0,"I","s"
"684","2014","426","S2573",7.02631732097185,"I","s"
"5166","2014","426","S2573",0,"I","s"
"261","2014","426","S2573",47157.9379024,"I","s"
"271","2014","426","S2573",0,"I","s"
"281","2014","426","S2573",5334.60836,"I","s"
"5141","2014","426","S2574",1.229,"I","s"
"5610","2014","426","S2574",1.229,"I","s"
"664","2014","426","S2574",0.0143096616841941,"I","s"
"674","2014","426","S2574",0,"I","s"
"684","2014","426","S2574",0.00161874000952422,"I","s"
"5166","2014","426","S2574",0,"I","s"
"261","2014","426","S2574",10.86436,"I","s"
"271","2014","426","S2574",0,"I","s"
"281","2014","426","S2574",1.229,"I","s"
"5910","2014","426","S2575",0.057,"I","s"
"5141","2014","426","S2575",1742.312,"I","s"
"5610","2014","426","S2575",1742.369,"I","s"
"664","2014","426","S2575",20.2863264998468,"I","s"
"674","2014","426","S2575",0,"I","s"
"684","2014","426","S2575",2.2948333144623,"I","s"
"5166","2014","426","S2575",0,"I","s"
"261","2014","426","S2575",15402.03808,"I","s"
"271","2014","426","S2575",0,"I","s"
"281","2014","426","S2575",1742.312,"I","s"
"5141","2014","426","S2576",0.011,"I","s"
"5610","2014","426","S2576",0.011,"I","s"
"664","2014","426","S2576",0.000128076711575375,"I","s"
"674","2014","426","S2576",0,"I","s"
"684","2014","426","S2576",0.0000144883157890695,"I","s"
"5166","2014","426","S2576",0,"I","s"
"261","2014","426","S2576",0.09724,"I","s"
"271","2014","426","S2576",0,"I","s"
"281","2014","426","S2576",0.011,"I","s"
"5910","2014","426","S2577",2.92,"I","s"
"5141","2014","426","S2577",130.853,"I","s"
"5610","2014","426","S2577",133.773,"I","s"
"664","2014","426","S2577",1.52356563088841,"I","s"
"674","2014","426","S2577",0,"I","s"
"684","2014","426","S2577",0.17234905326792,"I","s"
"5166","2014","426","S2577",0,"I","s"
"261","2014","426","S2577",1156.74052,"I","s"
"271","2014","426","S2577",0,"I","s"
"281","2014","426","S2577",130.853,"I","s"
"5910","2014","426","S2578",0.723,"I","s"
"5610","2014","426","S2578",0.05,"I","s"
"5166","2014","426","S2578",-0.673,"I","s"
"5910","2014","426","S2579",0.04,"I","s"
"5141","2014","426","S2579",305.276,"I","s"
"5610","2014","426","S2579",305.316,"I","s"
"664","2014","426","S2579",3.55443147298946,"I","s"
"674","2014","426","S2579",0,"I","s"
"684","2014","426","S2579",0.402085008256727,"I","s"
"5166","2014","426","S2579",-0.000000000000056843418860808,"I","s"
"261","2014","426","S2579",2698.63984,"I","s"
"271","2014","426","S2579",0,"I","s"
"281","2014","426","S2579",305.276,"I","s"
"5910","2014","426","S2580",0.022,"I","s"
"5141","2014","426","S2580",33.475,"I","s"
"5610","2014","426","S2580",33.497,"I","s"
"664","2014","426","S2580",0.389760719998697,"I","s"
"674","2014","426","S2580",0,"I","s"
"684","2014","426","S2580",0.044090579185373,"I","s"
"5166","2014","426","S2580",0,"I","s"
"261","2014","426","S2580",295.919,"I","s"
"271","2014","426","S2580",0,"I","s"
"281","2014","426","S2580",33.475,"I","s"
"5141","2014","426","S2582",4.198,"I","s"
"5610","2014","426","S2582",4.198,"I","s"
"664","2014","426","S2582",0.0488787304721294,"I","s"
"674","2014","426","S2582",0,"I","s"
"684","2014","426","S2582",0.00552926815295581,"I","s"
"5166","2014","426","S2582",0,"I","s"
"261","2014","426","S2582",37.11032,"I","s"
"271","2014","426","S2582",0,"I","s"
"281","2014","426","S2582",4.198,"I","s"
"5910","2014","426","S2586",8.819,"I","s"
"5141","2014","426","S2586",1739.0482,"I","s"
"5610","2014","426","S2586",1075.112,"I","s"
"5510","2014","426","S2586",751.64,"I","s"
"5071","2014","426","S2586",52.5708,"I","s"
"664","2014","426","S2586",18.0889305572851,"I","s"
"674","2014","426","S2586",0.00694305249596901,"I","s"
"684","2014","426","S2586",2.03917856596982,"I","s"
"5166","2014","426","S2586",26.3139999999999,"I","s"
"261","2014","426","S2586",13733.703698,"I","s"
"271","2014","426","S2586",5.271391,"I","s"
"281","2014","426","S2586",1548.21061,"I","s"
