"geographicAreaM49","measuredItemFbsSua","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"426","21419.99","5910","2015",388.02,"I","s"
"426","21429.07","5910","2015",0.0208,"I","s"
"426","21431.02","5910","2015",3.216,"I","s"
"426","21439.9","5910","2015",59.54162,"I","s"
"426","21495.01","5910","2015",1.23636,"I","s"
"426","21631.01","5910","2015",3.6,"I","s"
"426","21641.01","5910","2015",4.48,"I","s"
"426","2165","5910","2015",4,"I","s"
"426","21673","5910","2015",6.1,"I","s"
"426","21931","5910","2015",0.1,"I","s"
"426","22110.02","5910","2015",0,"I","s"
"426","22211","5910","2015",1.05514,"I","s"
"426","22212","5910","2015",8.07648,"I","s"
"426","22222.01","5910","2015",0.22364,"I","s"
"426","22241.01","5910","2015",0.072,"I","s"
"426","22260","5910","2015",6,"I","s"
"426","22270","5910","2015",0,"I","s"
"426","23120.90","5910","2015",11.59768,"I","s"
"426","23140.03","5910","2015",13.93736,"I","s"
"426","23140.08","5910","2015",1.196,"I","s"
"426","23161.02","5910","2015",64.55792,"I","s"
"426","23161.03","5910","2015",0.29,"I","s"
"426","23170.02","5910","2015",0.003,"I","s"
"426","23180","5910","2015",0,"I","s"
"426","23210.04","5910","2015",0.0433,"I","s"
"426","23220.03","5910","2015",0.081,"I","s"
"426","23311","5910","2015",143.96943,"I","s"
"426","2351f","5910","2015",259.6,"I","s"
"426","23520","5910","2015",68.006,"I","s"
"426","23620","5910","2015",0,"I","s"
"426","23670.01","5910","2015",7.0354,"I","s"
"426","23670.02","5910","2015",0.002,"I","s"
"426","23710","5910","2015",5.8341,"I","s"
"426","23911","5910","2015",13.29,"I","s"
"426","23912.01","5910","2015",0.0002,"I","s"
"426","23912.02","5910","2015",0.194,"I","s"
"426","23914","5910","2015",0.055,"I","s"
"426","23991.01","5910","2015",0.036,"I","s"
"426","23991.03","5910","2015",0.32,"I","s"
"426","23995.01","5910","2015",0.0012,"I","s"
"426","23995.03","5910","2015",5.522,"I","s"
"426","23999.02","5910","2015",0,"I","s"
"426","2413","5910","2015",0.216,"I","s"
"426","24212.02","5910","2015",1.282,"I","s"
"426","24220","5910","2015",0.1725,"I","s"
"426","24230.03","5910","2015",0.348,"I","s"
"426","24310.01","5910","2015",149,"I","s"
"426","24320","5910","2015",148.2453,"I","s"
"426","24490","5910","2015",0.053,"I","s"
"426","25090","5910","2015",0.2312,"I","s"
"426","26130","5910","2015",3853.76475,"I","s"
"426","26150.01","5910","2015",433.53,"I","s"
"426","26150.02","5910","2015",118.234,"I","s"
"426","26160","5910","2015",1914.77,"I","s"
"426","35410.90","5910","2015",18.132,"I","s"
"426","39120.13","5910","2015",0,"I","s"
"426","39120.14","5910","2015",0,"I","s"
"426","39170.01","5910","2015",7.24023,"I","s"
"426","F0020","5910","2015",0.84864,"I","s"
"426","F0473","5910","2015",2.125,"I","s"
"426","F0475","5910","2015",2.8,"I","s"
"426","F0623","5910","2015",36.97036,"I","s"
"426","F0665","5910","2015",0.831536170212766,"I","s"
"426","F0769","5910","2015",0,"I","s"
"426","F0875","5910","2015",5,"I","s"
"426","F0994","5910","2015",8.25,"I","s"
"426","F1232","5910","2015",100.52916,"I","s"
"426","F1294","5910","2015",603.6,"I","s"
"426","0111","5910","2016",45459.755943799,"I","s"
"426","0112","5910","2016",8573.61093340413,"I","s"
"426","0113","5910","2016",19.46514,"I","s"
"426","0114","5910","2016",2.44235294117647,"I","s"
"426","0115","5910","2016",0.185,"I","s"
"426","0117","5910","2016",4.90577614678899,"I","s"
"426","01199.90","5910","2016",0.04,"I","s"
"426","01212","5910","2016",0.08,"I","s"
"426","01214","5910","2016",0.03,"I","s"
"426","01215","5910","2016",0.04,"I","s"
"426","01241.90","5910","2016",3.4652,"I","s"
"426","01242","5910","2016",6.8385,"I","s"
"426","01243","5910","2016",0.257,"I","s"
"426","01290.90","5910","2016",4.789,"I","s"
"426","01313","5910","2016",0.15,"I","s"
"426","01343","5910","2016",1,"I","s"
"426","01344.02","5910","2016",0.115,"I","s"
"426","01345","5910","2016",1,"I","s"
"426","01351.01","5910","2016",2,"I","s"
"426","01356","5910","2016",0.9,"I","s"
"426","01359.90","5910","2016",81,"I","s"
"426","01460","5910","2016",0.033,"I","s"
"426","01520.02","5910","2016",0.001,"I","s"
"426","01610","5910","2016",0.05482,"I","s"
"426","01620","5910","2016",0.54728,"I","s"
"426","01651","5910","2016",2.3,"I","s"
"426","01657","5910","2016",0.2555,"I","s"
"426","01659","5910","2016",0.156,"I","s"
